Cathode,Anode,Concentration
-1.3,2.5,13.48230216
-1.3,2.7,27.22935252
-1.3,2.9,53.92920863
-1.3,3.1,58.99472422
-1.5,2.7,55.82877698
-1.5,2.9,72.25827338
-1.5,3.1,82.30359712
-1.7,2.5,22.60655476
-1.7,2.7,65.80463629
-1.7,2.9,111.9443645
-1.7,3.1,148.0604317
-1.9,2.5,19.68402878
-1.9,2.7,47.3105036
-1.9,2.9,78.00143885
-1.9,3.1,141.4417266
-2.1,2.5,16.21141487
-2.1,2.7,44.66302158
-2.1,2.9,80.64892086
-2.1,3.1,103.1194245
-1.3,3,65.61342926
-1.5,3,72.23213429
-1.7,3,131.8004796
-1.9,3,81.05707434
-2.1,3,81.05707434
-1.3,3,31.46532374
-1.6,2.8,49.8672148
-1.8,3,55.82877698
-1.8,2.7,39.36805755
-1.6,2.7,54.38920863
-1.8,3.1,151.6565947
-1.6,3.1,92.23165468
-1.5,2.55,20.43194245
