cathode,anode,Concentration,FE%
0.5,0.2,188.5889688,24.95737661
0.5,0.4,129.0382734,19.38326019
0.5,0.5,86.67856115,13.16826873
0.5,1,61.48776978,8.352816706
0.5,1.5,39.36805755,5.700685728
0.5,2,28.95021583,4.53684353
0.5,2.5,23.59788969,3.745519787
0.5,3,19.30014388,3.164385391
2,1,93.88633094,12.70103214
3,1,113.6431655,14.73360739
2,2,41.35745118,7.665448134
2,0.5,105.3256595,21.21224964
2,3,26.22898253,5.981594083
2,0.8,97.26848921,17.29839786
0.2,0.1,121.5856115,29.73877479
0.1,0.1,68.14618705,18.40825325
0.2,0.2,80.85410072,18.95602869
3,3,29.0655704,6.273634692
3,2,45.98676259,9.04269494
3,1.5,89.32604317,15.83869501
4,2,42.59136691,8.530593022
1.25,1.25,54.34902364,11.02019255
1.25,3,24.81505257,5.568920839
1.25,0.5,105.0388489,19.0943222
4,3,32.80671463,7.589942301
2,2.5,32.25956835,7.912620104
2,1.5,52.66282974,11.30114898
4,1,84.60596095,17.13591692
2,3,30.27395683,7.182959502
3,0.5,118.4483453,22.85314099
1,0.5,102.5634532,21.26256873
1.5,0.25,149.0091127,27.30408189
0.1,1.5,10.87784173,2.426987636
0.1,3,3.568217426,0.891252061
0.5,0.1,186.9122302,53.87181316
0.1,0.05,94.81767729,26.21643668
2.5,2.5,35.38359712,7.676449977
1.5,2,38.21640288,8.232335535
2,0.4,137.333717,16.00411086
1.5,0.4,142.6551559,25.67069617
2.5,0.5,112.2532374,11.09188463
